,rotation,texture_u,texture_g,texture_r,texture_i,texture_z
10153,ccw,0.4148768,315.7166,549.0057,647.1598,27.25126
10154,ccw,1.854355,1109.759,2732.542,467.8862,50.09353
10155,ccw,0.01283305,10.000919999999999,16.56399,6.768530999999999,0.5088819
10156,ccw,0.38598699999999997,20.559820000000002,44.229240000000004,23.83381,2.0849290000000003
10157,ccw,1.3609040000000001,426.1948,1022.128,632.6215,54.9148
10158,ccw,0.163503,74.97385,209.4421,151.2483,23.91488
10159,ccw,0.45219929999999997,93.32135,403.3717,312.4499,7.403875
10160,ccw,0.08748274,12.80129,33.81828,7.904955,0.09980053
10161,ccw,3.15902,989.7335,2226.786,1137.594,68.91547
10162,ccw,0.04236055,12.44586,17.32132,19.02201,0.6945496999999999
10163,ccw,0.7013398000000001,36.87755,95.53501,55.4493,4.838479
10164,ccw,7.090235000000001,183.3647,143.6451,62.00034,2.5396
10165,ccw,1.2050530000000002,63.68776,109.6031,85.72612,8.497816
10166,ccw,0.3610136,5.015301,18.774079999999998,13.56755,0.8925050999999999
10167,ccw,0.01432419,5.999017,31.93427,24.95859,1.660612
10168,ccw,0.6796774,128.1158,348.3314,251.2439,2.655271
10169,ccw,0.43886990000000003,430.1227,1602.098,322.79200000000003,16.72485
10170,ccw,7.088464999999999,176.6932,204.6068,98.78468000000001,6.145023
10171,ccw,1.8015,1983.725,505.6119,503.0999,20.367829999999998
10172,ccw,2.2867490000000004,2098.33,982.3083,893.3217,25.13674
10173,ccw,-0.01108948,10.24354,2.542416,1.5457370000000001,0.3210653
10174,ccw,0.03491383,22.68497,43.924690000000005,27.816779999999998,0.33804850000000003
10175,ccw,3.28124,323.4191,160.0797,98.70819,2.815665
10176,ccw,0.4068751,52.335190000000004,96.69308000000001,114.8481,7.90459
10177,ccw,0.2746131,442.7246,263.8408,196.1679,8.458015
10178,ccw,1.9744529999999998,27.43058,64.89156,27.801270000000002,0.7704432
10179,ccw,2.653278,2916.877,5327.7880000000005,6165.3,509.3275
10180,ccw,0.4065689,47.17392,38.08846,32.23106,1.6734959999999999
10181,ccw,0.36789040000000006,84.81339,68.50586,76.95730999999999,2.64534
10182,ccw,0.1086145,38.09935,71.84747,72.59493,5.624926
10183,ccw,1.210076,95.94698000000001,116.1553,118.91799999999999,2.643768
10184,ccw,0.5083555999999999,20.74642,29.98361,30.65977,0.8577246999999999
10185,ccw,0.3527955,188.8718,301.2685,163.5494,6.661217999999999
10186,ccw,-0.01651429,33.13058,70.29500999999999,65.36322,2.1396479999999998
10187,ccw,0.4754732,590.3997,1097.282,268.7409,8.460413
10188,ccw,0.15463729999999998,79.29556,47.781890000000004,36.27514,1.479334
10189,ccw,62.88299,3114.3790000000004,1634.565,1073.3310000000001,63.49945
10190,ccw,0.08558868,54.796780000000005,132.8744,38.25888,1.009576
