,rotation,ra,dec,cx,cy,cz,raErr,decErr,raDecCorr,b,l,offsetRa_u,offsetRa_g,offsetRa_r,offsetRa_i,offsetRa_z,offsetDec_u,offsetDec_g,offsetDec_r,offsetDec_i,offsetDec_z
3190,cw,201.3048794,33.7093252,-0.77501447,-0.30224155,0.55497983,0.046671395,0.045429374,-0.009043559,80.19144772,77.11129422,-0.046,0.0016300000000000002,0,0.007909999999999999,0.0041600000000000005,0.11710999999999999,0.030180000000000002,0,0.04671,0.06874
3191,cw,202.8757898,33.53985629,-0.76794656,-0.324011,0.55251692,0.048500898,0.048674249,0.001318433,79.2464479,71.94846504,-0.07685,-0.02165,0,-0.0131,-0.02955,-0.011290000000000001,-0.0057,0,0.01643,-0.031810000000000005
3192,cw,203.9694592,33.32709364,-0.7634918,-0.33944092,0.54941799,0.053798057999999996,0.048056434,-0.044532057,78.58425082,68.49715608,0.05099,0.0584,0,0.01541,0.00313,-0.032260000000000004,0.0034100000000000003,0,0.013630000000000001,-0.0252
3193,cw,176.6820595,34.99889088,-0.81779002,0.047410400000000005,0.57356058,0.055560813,0.053762224000000004,0.00551928,74.09399103,179.3159108,0.56719,0.05056,0,-0.06432,-0.13055999999999998,0.01085,-0.050460000000000005,0,0.01865,-0.03238
3194,cw,180.5415526,35.30639334,-0.81603665,-0.00771331,0.57794869,0.05227797,0.041408964,0.02103668,76.68305057,172.0301565,0.06473,0.0261,0,0.049319999999999996,0.04239,0.01526,-0.00299,0,0.0009699999999999999,-0.02132
3195,cw,180.9953185,35.25983627,-0.81641926,-0.01418392,0.57728538,0.052200287000000005,0.043750927,0.014254465,77.01322481,171.2643412,-0.31389,-0.01296,0,-0.04527,-0.01241,0.14462,0.02982,0,0.043769999999999996,0.00032
3196,cw,181.4769946,35.17203893,-0.81715452,-0.02106962,0.57603347,0.052480774,0.042982817,0.014193668000000001,77.383252,170.5415138,0.56196,0.05702,0,0.00793,0.01465,0.05339,0.02623,0,0.04002,0.08397
3197,cw,181.6953794,35.3113434,-0.81566596,-0.02414256,0.57801919,0.05172269400000001,0.040830508,0.015809228,77.44176434,169.5383456,-0.0863,-0.04252,0,0.00114,0.05789,-0.057089999999999995,0.033319999999999995,0,-0.03137,-0.09979
3198,cw,204.9473475,33.66996589,-0.75459289,-0.35102858,0.55440825,0.051107720999999995,0.042023917,-0.081857263,77.70555737,67.99977921,0.08916,0.04555,0,-0.013019999999999999,-0.01678,0.09973,0.03899,0,-0.01818,-0.034230000000000003
3199,cw,178.7175706,35.60397225,-0.81285675,0.018196900000000002,0.58217934,0.046137548,0.04725933400000001,-0.0030341929999999997,75.27312721,174.32392280000002,0.06292,0.02544,0,0.0042899999999999995,0.021419999999999998,-0.23319,-0.0315,0,0.00945,-0.00502
3200,cw,179.85169430000002,35.60207876,-0.81307692,0.00210459,0.58215247,0.047510619000000004,0.047554619000000006,-9.570000000000001e-05,76.05200199,172.3297784,-0.06415,-0.026789999999999998,0,-0.00927,0.02302,-0.21328000000000003,0.007690000000000001,0,0.0308,0.02454
3201,cw,182.2852292,35.63582055,-0.8120903,-0.03240722,0.5826312,0.044724541,0.049945902,-0.006018664,77.61088675,166.9710359,-0.04075,-0.03704,0,0.029689999999999998,0.01426,0.24931999999999999,0.03102,0,-2.9999999999999997e-05,-0.02567
3202,cw,185.72489009999998,35.73208987,-0.8077078000000001,-0.08097435,0.58399595,0.058346022000000004,0.074998524,0.0036829379999999998,79.46793234,156.4070259,-0.44233,0.08119,0,0.05475,0.047560000000000005,0.40567,-0.02247,0,-0.10116,-0.03217
3203,cw,187.38987609999998,35.771531599999996,-0.80461518,-0.1043567,0.58455461,0.050330948,0.049672107,-0.000630928,80.18241046,149.9037156,0.10099999999999999,0.02181,0,0.0213,-0.05343,-0.012240000000000001,0.01863,0,0.04092,0.0851
