,rotation,q_u,q_g,q_r,q_i,q_z,qErr_u,qErr_g,qErr_r,qErr_i,qErr_z,u_u,u_g,u_r,u_i,u_z,uErr_u,uErr_g,uErr_r,uErr_i,uErr_z
53,cw,0.2481518,0.2488255,0.2591232,0.2612195,0.27757800000000005,0.02612092,0.004157494,0.00339638,0.004238165,0.01329047,-0.009578202,-0.02923963,-0.02633479,-0.0288724,-0.03834868,0.02464948,0.003925118,0.0031912090000000004,0.003978876,0.01238958
54,cw,-0.11948710000000001,-0.09450463,-0.09588549,-0.1076942,-0.1387068,0.04105772,0.004589985,0.004002248,0.004285935,0.01293745,0.01653126,0.08356864,0.06459844,0.06446868,0.07307939,0.04049486,0.004581195,0.003982467,0.004254649,0.01276312
55,cw,0.08567045,0.07620117,0.06078192,0.06818389999999999,0.06006619999999999,0.01983405,0.002716052,0.002562626,0.002819433,0.008247329,-0.046515,-0.03526108,-0.04413786,-0.04088314,-0.04138896,0.01973262,0.002703772,0.00255818,0.0028111029999999997,0.008231798
56,cw,0.0195971,-0.01582918,-0.02377672,-0.02466152,-0.02583603,0.04347304,0.005424506,0.004553323,0.00504635,0.01591264,0.02950594,0.0375457,0.03830596,0.03521269999999999,0.02818195,0.04349416,0.005430786999999999,0.004557423,0.005049533,0.01591465
57,cw,0.2363538,0.2163031,0.21519970000000002,0.21400410000000003,0.21209770000000003,0.02662927,0.00756938,0.006329191999999999,0.006104187,0.006459082,0.03034813,0.004602409,0.003207271,0.000511592,-0.005796268,0.025279,0.007238446999999999,0.006055051,0.005842478000000001,0.00618697
58,cw,0.1115125,0.09205865,0.09307312,0.1036634,0.1093744,0.009114276999999999,0.00119216,0.001153008,0.001251146,0.00384019,-0.02491805,-0.03075205,-0.04237172,-0.04717165,-0.05438934,0.009008599,0.001183301,0.001145198,0.001240665,0.003806269
59,cw,0.1528431,0.11765250000000001,0.12186749999999999,0.133556,0.188002,0.02110492,0.002497562,0.002420991,0.002925062,0.009404892,0.0389339,0.006621215,0.007263195,0.008497348,0.0156183,0.02065977,0.0024638000000000004,0.0023859429999999997,0.0028744509999999997,0.009091341
60,cw,0.10827560000000001,-0.01427756,-0.01525697,-0.02350256,0.006286535,0.03559276,0.004070679000000001,0.003952963,0.004621861,0.01554834,0.03335365,0.0113712,0.01657076,0.02066224,0.02891418,0.035221800000000004,0.004070376,0.0039531290000000005,0.004621281,0.01556072
61,cw,0.03469246,0.05870634,0.05879465,0.06220987,0.06809951,0.02208444,0.0031088009999999996,0.0036318009999999996,0.004347506,0.01048652,-0.03273373,-0.02640984,-0.03115212,-0.03111528,-0.03891056,0.02208153,0.003100302,0.003622822,0.004334969,0.01045402
62,cw,0.04268835,0.03592012,0.0226137,0.02025576,0.02676052,0.009762131,0.003497766,0.003460865,0.003493767,0.006306531999999999,0.03792272,0.005806756,-0.0043547379999999995,-0.006788184,-0.008399963,0.009758393,0.0034933790000000004,0.003459162,0.003492496,0.006302465
63,cw,-0.07971705,-0.03908425,-0.02896359,-0.02850971,-0.02680704,0.02074119,0.0030086690000000003,0.00278071,0.003147294,0.01023462,-0.161496,-0.13566199999999998,-0.14285970000000003,-0.14173,-0.15615220000000002,0.02114134,0.0030588720000000002,0.002834517,0.0032072859999999997,0.01047368
