,rotation,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,lnLStar_u,lnLStar_g,lnLStar_r,lnLStar_i,lnLStar_z,probPSF_u,probPSF_g,probPSF_r,probPSF_i,probPSF_z
3333,cw,21.693089999999998,20.1325,19.72563,19.42783,19.18241,0.1326369,0.04191606,0.01838258,0.02321123,0.050653,-61.50147,-12181.71,-11317.9,-7573.236,-309.8381,0,0,0,0,0
3334,cw,19.408160000000002,18.21161,17.605529999999998,17.24849,16.98594,0.02832741,0.015199899999999999,0.01549066,0.01381639,0.02146104,-1416.8470000000002,-51693.11,-60610.78,-55646.21,-10716.57,0,0,0,0,0
3335,cw,20.80397,19.47694,18.63087,18.1717,17.97121,0.06538715,0.02680786,0.01381852,0.01550412,0.02202625,-15.76239,-5402.526999999999,-9097.383,-8728.242,-1140.212,0,0,0,0,0
3336,cw,21.84684,20.35128,19.56853,19.33044,18.93429,0.1443506,0.02290902,0.02010409,0.02074361,0.04251361,-20.58726,-10334.88,-14166.3,-8185.6630000000005,-1261.9080000000001,0,0,0,0,0
3337,cw,20.124570000000002,18.42251,17.56227,17.219260000000002,16.76059,0.04290043,0.0182992,0.01604737,0.02315599,0.02108242,-2360.803,-86256.49,-104572.2,-105900.7,-37508.96,0,0,0,0,0
3338,cw,21.62121,20.15362,19.22346,18.64675,18.19505,0.1256133,0.02502746,0.01780234,0.01842672,0.03063751,-51.64013,-11606.29,-14040.22,-12350.68,-1366.9979999999998,0,0,0,0,0
3339,cw,21.08636,19.90635,19.19965,18.870720000000002,18.6177,0.10034580000000001,0.03329399,0.01790721,0.02569259,0.04300572,-60.506840000000004,-6913.475,-8972.944,-7179.888000000001,-443.8006,0,0,0,0,0
3340,cw,20.44847,19.31861,18.835160000000002,18.51182,18.10857,0.05052602,0.01724803,0.01471198,0.01716867,0.02745075,-970.762,-44044.99,-32452.48,-31928.7,-4169.804,0,0,0,0,0
3341,cw,20.47679,18.92983,18.315920000000002,17.89477,17.52427,0.06435104,0.02266794,0.01289082,0.01438966,0.01919159,-781.2155,-44213.23,-44390.94,-42133.8,-9380.64,0,0,0,0,0
3342,cw,19.82305,18.5624,18.05507,17.80568,17.41534,0.04399602,0.01453209,0.01225489,0.01665928,0.02089144,-852.056,-49196.35,-51706.36,-43565.38,-5877.272,0,0,0,0,0
3343,cw,20.78081,19.24742,18.5301,18.36573,18.073439999999998,0.07050088,0.01454466,0.01476667,0.01761814,0.02450708,-929.0009,-32270.32,-35183.4,-28442.84,-3934.784,0,0,0,0,0
3344,cw,21.46932,20.06356,19.29733,19.216179999999998,18.99985,0.1875893,0.02142921,0.01896847,0.02271657,0.06262083,-39.74536,-8035.149,-7251.7919999999995,-6032.427,-300.322,0,0,0,0,0
3345,cw,21.68375,20.650760000000002,19.79663,19.523039999999998,19.456770000000002,0.199799,0.03017952,0.0251995,0.02516401,0.08014627,-26.42035,-3569.44,-4415.222,-3697.988,-149.3311,0,0,0,0,0
3346,cw,20.46566,19.16687,18.30702,18.03479,17.83172,0.06535944,0.01423942,0.01362307,0.01653197,0.026599200000000003,-197.3632,-15848.47,-15580.45,-14186.85,-1250.317,0,0,0,0,0
3347,cw,20.91684,19.01662,17.99576,17.60874,17.293029999999998,0.08805607,0.0154935,0.01032248,0.01303734,0.01841531,-111.7867,-15953.25,-21873.59,-21576.59,-2726.272,0,0,0,0,0
3348,cw,21.75539,20.53025,19.29184,19.01223,18.90175,0.184114,0.03181194,0.02828637,0.02286831,0.05323636,-38.43298,-7364.706999999999,-7604.59,-6425.585,-441.0346,0,0,0,0,0
3349,cw,20.64111,19.43352,18.90642,18.59756,18.26119,0.07453437,0.01691822,0.01739123,0.01850282,0.0374644,-289.3749,-21188.91,-21311.08,-17386.95,-1427.23,0,0,0,0,0
3350,cw,19.111320000000003,17.43891,16.69877,16.321379999999998,15.88957,0.02740778,0.01122116,0.01940515,0.01448479,0.02076081,-3016.665,-104764.7,-114185.6,-108972.3,-31425.1,0,0,0,0,0
3351,cw,21.16324,19.61608,18.61459,18.29208,17.95825,0.11018119999999999,0.02139951,0.0157232,0.01644468,0.02454092,-98.3169,-15198.48,-19955.53,-17768.17,-1707.6070000000002,0,0,0,0,0
3352,cw,21.11712,19.552020000000002,18.71741,18.29093,18.09723,0.0993485,0.01534073,0.015210900000000001,0.01404397,0.02935745,-62.75788000000001,-10826.49,-13925.4,-11242.27,-1055.9360000000001,0,0,0,0,0
3353,cw,20.748,19.450870000000002,18.62314,18.40005,18.0883,0.07186555,0.02260359,0.01346527,0.02064121,0.02978874,-285.1912,-23299.25,-25205.63,-21386.77,-2001.195,0,0,0,0,0
3354,cw,20.00461,19.21358,18.859389999999998,18.63192,18.53267,0.04607066,0.02739459,0.01263921,0.01715398,0.03517722,-180.6872,-9201.739,-6593.656,-7739.863,-639.0394,0,0,0,0,0
3355,cw,21.49931,19.682920000000003,18.5959,18.27342,18.024179999999998,0.1285395,0.01732283,0.01841152,0.0162132,0.02336849,-6.6653649999999995,-5244.351,-8158.571999999999,-8204.69,-744.8267,0,0,0,0,0
3356,cw,20.6625,19.653779999999998,19.15064,18.94678,18.70427,0.06931726,0.02222287,0.02029759,0.01571794,0.03862918,-119.4659,-12753.73,-10812.85,-7452.854,-393.1241,0,0,0,0,0
3357,cw,21.26118,20.116220000000002,19.46305,19.105220000000003,18.89419,0.10738450000000001,0.03254531,0.0178139,0.02270938,0.05259334,-58.77853,-7535.11,-8416.142,-9364.181999999999,-727.308,0,0,0,0,0
3358,cw,21.29805,19.94233,19.24635,18.89325,18.63195,0.1147962,0.01976231,0.01597125,0.01581513,0.03549137,-242.8844,-21957.88,-23627.65,-19499.86,-1116.302,0,0,0,0,0
