,rotation,sky_u,sky_g,sky_r,sky_i,sky_z,skyErr_u,skyErr_g,skyErr_r,skyErr_i,skyErr_z
1682,cw,1.21e-09,1.5299999999999999e-09,4.96e-09,1.09e-08,3.55e-08,4.13e-11,7.62e-11,8.51e-11,1.19e-10,3.01e-10
1683,cw,1.23e-09,1.5e-09,4.99e-09,1.04e-08,3.32e-08,6.490000000000001e-12,1.83e-11,1.6e-11,3.65e-11,6.3e-11
1684,cw,1.15e-09,1.36e-09,4.09e-09,9.99e-09,3.39e-08,1.07e-12,4.2799999999999994e-13,6.890000000000001e-13,1.24e-12,5.4100000000000006e-12
1685,cw,1.09e-09,1.36e-09,4.3700000000000004e-09,9.85e-09,3.3599999999999996e-08,2.99e-11,2.5300000000000002e-11,2.82e-11,5.98e-11,1.31e-10
1686,cw,1.11e-09,1.36e-09,4.15e-09,9.87e-09,3.35e-08,1.22e-12,4.07e-13,6.97e-13,1.19e-12,6.530000000000001e-12
1687,cw,1.11e-09,1.3699999999999998e-09,4.1600000000000005e-09,9.86e-09,3.33e-08,1.16e-12,4.07e-13,7.099999999999999e-13,1.29e-12,6.06e-12
1688,cw,1.14e-09,1.35e-09,4.05e-09,9.109999999999999e-09,3.2200000000000004e-08,1.22e-12,3.6299999999999994e-11,9.75e-12,7.15e-12,6.02e-12
1689,cw,1.1199999999999999e-09,1.3400000000000001e-09,4.44e-09,1.02e-08,3.12e-08,1.0199999999999999e-12,7.4e-12,2.82e-11,7.259999999999999e-11,4.82e-12
1690,cw,1.1199999999999999e-09,1.3400000000000001e-09,4.31e-09,9.95e-09,3.2799999999999996e-08,1.82e-11,9.29e-12,7.08e-13,1.07e-11,3.0500000000000005e-11
1691,cw,1.1699999999999999e-09,1.3699999999999998e-09,4.27e-09,1e-08,3.2200000000000004e-08,4.94e-11,7.250000000000001e-11,7.96e-11,1.19e-10,1.35e-10
1692,cw,1.2e-09,1.4000000000000001e-09,4.45e-09,9.890000000000001e-09,3.1299999999999996e-08,7.5e-11,6.75e-11,7.779999999999999e-11,6.23e-11,3.63e-10
1693,cw,1.26e-09,1.4300000000000002e-09,4.3e-09,9.76e-09,3.2200000000000004e-08,1.19e-10,9.57e-11,1.2399999999999999e-10,1.48e-10,2.93e-10
1694,cw,1.14e-09,1.3900000000000002e-09,4.020000000000001e-09,9.73e-09,3.25e-08,1.6699999999999998e-11,5.3e-11,7.31e-11,1.23e-10,1.6299999999999998e-10
