,rotation,type_u,type_g,type_r,type_i,type_z
545,cw,3,3,3,3,3
546,cw,3,3,3,3,3
547,cw,3,3,3,3,3
548,cw,3,3,3,3,3
549,cw,3,3,3,3,3
550,cw,3,3,3,3,3
551,cw,3,3,3,3,3
552,cw,3,3,3,3,3
553,cw,3,3,3,3,3
554,cw,3,3,3,3,3
555,cw,3,3,3,3,3
556,cw,3,3,3,3,3
557,cw,3,3,3,3,3
558,cw,3,3,3,3,3
559,cw,3,3,3,3,3
560,cw,3,3,3,3,3
561,cw,3,3,3,3,3
562,cw,3,3,3,3,3
563,cw,3,3,3,3,3
564,cw,3,3,3,3,3
565,cw,3,3,3,3,3
566,cw,3,3,3,3,3
567,cw,3,3,3,3,3
568,cw,3,3,3,3,3
569,cw,3,3,3,3,3
570,cw,3,3,3,3,3
571,cw,3,3,3,3,3
572,cw,3,3,3,3,3
573,cw,3,3,3,3,3
574,cw,3,3,3,3,3
575,cw,3,3,3,3,3
576,cw,3,3,3,3,3
577,cw,3,3,3,3,3
578,cw,3,3,3,3,3
579,cw,3,3,3,3,3
580,cw,3,3,3,3,3
581,cw,3,3,3,3,3
582,cw,3,3,3,3,3
583,cw,3,3,3,3,3
584,cw,3,3,3,3,3
585,cw,3,3,3,3,3
586,cw,3,3,3,3,3
587,cw,3,3,3,3,3
588,cw,3,3,3,3,3
589,cw,3,3,3,3,3
590,cw,3,3,3,3,3
591,cw,3,3,3,3,3
592,cw,3,3,3,3,3
593,cw,3,3,3,3,3
594,cw,3,3,3,3,3
595,cw,3,3,3,3,3
596,cw,3,3,3,3,3
597,cw,3,3,3,3,3
598,cw,3,3,3,3,3
599,cw,3,3,3,3,3
600,cw,3,3,3,3,3
601,cw,3,3,3,3,3
602,cw,3,3,3,3,3
603,cw,3,3,3,3,3
604,cw,3,3,3,3,3
605,cw,3,3,3,3,3
606,cw,3,3,3,3,3
607,cw,3,3,3,3,3
608,cw,3,3,3,3,3
609,cw,3,3,3,3,3
610,cw,3,3,3,3,3
611,cw,3,3,3,3,3
612,cw,3,3,3,3,3
613,cw,3,3,3,3,3
614,cw,3,3,3,3,3
615,cw,3,3,3,3,3
616,cw,3,3,3,3,3
617,cw,3,3,3,3,3
618,cw,3,3,3,3,3
619,cw,3,3,3,3,3
620,cw,3,3,3,3,3
621,cw,3,3,3,3,3
622,cw,3,3,3,3,3
623,cw,3,3,3,3,3
624,cw,3,3,3,3,3
625,cw,3,3,3,3,3
626,cw,3,3,3,3,3
627,cw,3,3,3,3,3
628,cw,3,3,3,3,3
