Date,Run_Number,Num_Epochs_Tot,Train_Loss,Valid_Loss
47:56.2,552,11040,0.055087735,0.084425597
50:45.7,553,11060,0.057620862,0.08134189
53:23.3,554,11080,0.056294473,0.083062344
56:01.8,555,11100,0.057222369,0.080990802
58:43.8,556,11120,0.059008777,0.084763592
01:28.8,557,11140,0.055937033,0.078125594
04:10.1,558,11160,0.054935453,0.078654945
06:53.3,559,11180,0.055422136,0.075379803
09:44.1,560,11200,0.055602336,0.080842885
12:43.3,561,11220,0.057980708,0.083161822
15:27.7,562,11240,0.056934388,0.080263297
18:13.2,563,11260,0.057689306,0.074553207
21:02.5,564,11280,0.058716378,0.08190612
23:47.0,565,11300,0.057906468,0.087985296
26:32.2,566,11320,0.056723902,0.083097156
29:18.0,567,11340,0.056266643,0.078765652
35:19.7,568,11360,0.05673685,0.08376219
38:11.6,569,11380,0.054322494,0.080260214
40:57.9,570,11400,0.058040407,0.086322612
43:45.8,571,11420,0.056264569,0.087926622
46:30.7,572,11440,0.055391726,0.090165486
49:23.4,573,11460,0.056235869,0.080516059
52:10.0,574,11480,0.056577116,0.082411027
55:05.5,575,11500,0.056916204,0.079834102
59:42.5,576,11520,0.056686542,0.080210805
02:36.9,577,11540,0.056146803,0.074500943
05:30.7,578,11560,0.057461212,0.081853811
08:26.2,579,11580,0.0598137,0.08382648
11:27.9,580,11600,0.055131315,0.08428111
14:24.5,581,11620,0.057246248,0.081838059
17:21.0,582,11640,0.054118119,0.084894328
20:24.3,583,11660,0.055652477,0.071344778
23:20.3,584,11680,0.053918998,0.083874261
26:30.1,585,11700,0.055824299,0.083022951
29:23.9,586,11720,0.05549978,0.077540839
32:25.7,587,11740,0.05694273,0.075267702
35:25.7,588,11760,0.055744382,0.08039212
38:27.5,589,11780,0.057195053,0.077541539
41:27.7,590,11800,0.056364538,0.087962275
44:25.7,591,11820,0.058592807,0.085007763
47:22.8,592,11840,0.056132779,0.079077684
50:39.5,593,11860,0.05766332,0.078098411
53:50.4,594,11880,0.054633258,0.081397159
57:02.7,595,11900,0.057298008,0.073234265
00:08.5,596,11920,0.058354223,0.085933126
03:16.2,597,11940,0.054786413,0.082210706
06:21.1,598,11960,0.057689573,0.082991576
09:33.0,599,11980,0.057631524,0.081256332
12:59.6,600,12000,0.057826452,0.085419921
16:23.7,601,12020,0.056048071,0.082085364
19:40.3,602,12040,0.055854932,0.081890761
23:01.1,603,12060,0.057240221,0.082706757
26:13.7,604,12080,0.056865178,0.084914828
