,rotation,flags_u,flags_g,flags_r,flags_i,flags_z
143,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2410400000000000.0,2252070000000000.0
144,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
145,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
146,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
147,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2410400000000000.0,2252070000000000.0
148,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
149,cw,2252070000000000.0,275147000000.0,4503870000000000.0,275146000000.0,2252070000000000.0
150,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
151,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
152,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
153,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
154,cw,2252070000000000.0,2252070000000000.0,4503870000000000.0,275147000000.0,275146000000.0
155,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
156,cw,1.1488e+16,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
157,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
158,cw,2410400000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
159,cw,70643900000000.0,275147000000.0,4503870000000000.0,275147000000.0,275147000000.0
160,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
161,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
162,cw,2252070000000000.0,2252070000000000.0,6914000000000000.0,2252070000000000.0,2252070000000000.0
163,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
164,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
165,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
166,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
167,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
168,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
169,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2410400000000000.0,2252070000000000.0
170,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
171,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
172,cw,2322440000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
173,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
174,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
175,cw,275155000000.0,275147000000.0,4503870000000000.0,275147000000.0,275146000000.0
176,cw,275146000000.0,275146000000.0,4503870000000000.0,275146000000.0,275146000000.0
177,cw,2322440000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
178,cw,2252070000000000.0,2410400000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
179,cw,2252070000000000.0,2252070000000000.0,4503870000000000.0,275146000000.0,2252070000000000.0
180,cw,275146000000.0,275147000000.0,4503870000000000.0,275146000000.0,275146000000.0
181,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
182,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
183,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
184,cw,2252070000000000.0,275146000000.0,4503870000000000.0,275146000000.0,275146000000.0
185,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
186,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
187,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2410400000000000.0
188,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
189,cw,275146000000.0,275146000000.0,4503870000000000.0,275146000000.0,275146000000.0
190,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
191,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
192,cw,9007470000000000.0,275213000000.0,4503870000000000.0,275213000000.0,275213000000.0
193,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
194,cw,275146000000.0,158605000000000.0,4503870000000000.0,275147000000.0,275147000000.0
195,cw,2322170000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
196,cw,275213000000.0,275213000000.0,4503880000000000.0,275213000000.0,275214000000.0
197,cw,2322440000000000.0,2322440000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
198,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
199,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2410400000000000.0,2252070000000000.0
200,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
201,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
202,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
203,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
204,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
205,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
206,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
207,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
208,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
209,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
210,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
211,cw,275214000000.0,275213000000.0,4503870000000000.0,275213000000.0,275214000000.0
212,cw,2252070000000000.0,2269670000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
213,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
214,cw,2252070000000000.0,2252070000000000.0,6755670000000000.0,2252070000000000.0,2252070000000000.0
