,rotation,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,dered_u,dered_g,dered_r,dered_i,dered_z
6360,cw,17.14043,15.78602,15.167860000000001,14.86266,14.640820000000001,0.01900948,0.003287035,0.002993204,0.0032234090000000004,0.00804054,16.82467,15.55369,14.99935,14.734879999999999,14.550229999999999
6361,cw,17.39142,15.85455,15.057570000000002,14.6189,14.271429999999999,0.02246083,0.003171534,0.0027108109999999996,0.002722012,0.005095295,17.03864,15.59499,14.86931,14.47615,14.17022
6362,cw,18.562260000000002,17.2616,16.52157,16.10741,15.82135,0.03978811,0.005751065,0.00470675,0.0044013970000000005,0.01192952,18.43436,17.1675,16.45332,16.05565,15.78465
6363,cw,18.0619,16.52446,15.632629999999999,15.17736,14.81824,0.03489737,0.004442113,0.00346417,0.003253539,0.007168486,18.00405,16.48189,15.60176,15.153939999999999,14.801639999999999
6364,cw,17.67361,16.27091,15.676770000000001,15.32272,15.11525,0.03212899,0.00408543,0.0036528690000000004,0.003602309,0.01080885,17.60085,16.217370000000003,15.637939999999999,15.293270000000001,15.094370000000001
6365,cw,17.91306,16.522489999999998,15.84946,15.46703,15.235660000000001,0.03695616,0.004992224,0.004239473,0.004115126,0.01189015,17.83841,16.46756,15.809629999999999,15.436829999999999,15.21424
6366,cw,18.8282,17.13743,16.24728,15.820470000000002,15.54815,0.09332979,0.0080194,0.005743964,0.005641366,0.01771433,18.70358,17.04574,16.180770000000003,15.77005,15.5124
6367,cw,18.44056,16.97746,16.31631,15.954970000000001,15.682379999999998,0.04577021,0.005219656,0.0044954140000000005,0.004534173,0.01367228,18.31316,16.88371,16.24832,15.903410000000001,15.645829999999998
6368,cw,17.05128,15.97151,15.5828,15.369639999999999,15.25371,0.02677533,0.003774209,0.006054958,0.005153886,0.01579023,16.97489,15.91531,15.54204,15.338729999999998,15.2318
6369,cw,18.5033,17.43282,17.00434,16.66449,16.48979,0.04330297,0.0062457630000000005,0.007211483,0.006614184,0.023703000000000002,18.411620000000003,17.36536,16.95542,16.62739,16.46349
6370,cw,18.17192,16.82005,16.24776,15.914060000000001,15.732270000000002,0.03917299,0.005022797,0.004507854,0.005358023000000001,0.01629201,18.08201,16.75389,16.19978,15.877679999999998,15.706470000000001
6371,cw,17.06108,15.14935,14.27786,13.888710000000001,13.548720000000001,0.01745767,0.002446712,0.0021180829999999998,0.002108863,0.003738398,16.98379,15.09247,14.23661,13.857429999999999,13.526539999999999
6372,cw,18.290010000000002,16.99062,16.337889999999998,15.94699,15.68634,0.03510596,0.005936478,0.005234236,0.005135952,0.01269802,18.22261,16.941029999999998,16.30193,15.91971,15.667
6373,cw,18.6842,17.27526,16.5675,16.20381,15.93649,0.05033315,0.00587334,0.0049430609999999995,0.005227793,0.01686088,18.65073,17.250629999999997,16.54963,16.19027,15.926879999999999
6374,cw,17.22344,15.317720000000001,14.573479999999998,14.20129,13.956539999999999,0.03505921,0.003211875,0.002765509,0.002855367,0.007877706,17.19214,15.29469,14.556779999999998,14.188620000000002,13.947560000000001
6375,cw,14.993960000000001,13.10028,12.23687,11.772160000000001,11.367469999999999,0.008088955,0.001775699,0.001652394,0.00162151,0.002108338,14.940560000000001,13.060989999999999,12.20837,11.75056,11.35215
6376,cw,18.712320000000002,17.33097,16.6068,16.2366,15.93085,0.04507427,0.005576734,0.004771092,0.005194215,0.01596478,18.64153,17.278879999999997,16.569029999999998,16.20795,15.91054
6377,cw,18.51979,17.23528,16.69279,16.381629999999998,16.154510000000002,0.04734486,0.007089646999999999,0.006327544,0.006346676999999999,0.02165179,18.44024,17.17675,16.65034,16.349439999999998,16.13168
6378,cw,18.5829,17.05473,16.249589999999998,15.8541,15.554620000000002,0.05171632,0.006549669,0.00618555,0.006902155,0.01525986,18.50955,17.00076,16.21045,15.824420000000002,15.533570000000001
6379,cw,17.9489,16.72561,16.16519,15.83559,15.547410000000001,0.03358782,0.004665214,0.004448527,0.005081336,0.01652901,17.8432,16.64783,16.10878,15.79282,15.51709
6380,cw,19.11536,17.592129999999997,16.886779999999998,16.5377,16.21446,0.07512676,0.007973168000000001,0.007454314,0.008788585,0.02498526,19.02321,17.52433,16.8376,16.500410000000002,16.18802
