,rotation,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,fiberMagErr_u,fiberMagErr_g,fiberMagErr_r,fiberMagErr_i,fiberMagErr_z
6596,cw,20.8412,19.27143,18.41224,18.01896,17.6695,0.07546369,0.009282414000000001,0.006385804,0.006358794,0.01756077
6597,cw,20.133470000000003,18.829810000000002,18.10827,17.65032,17.399720000000002,0.04781509,0.008762611,0.0071309780000000005,0.006846925,0.01505429
6598,cw,19.30894,18.00543,17.31409,16.90992,16.59291,0.02550948,0.01040036,0.009792505,0.008901046,0.008354841
6599,cw,20.48358,18.72737,17.76377,17.260479999999998,16.88963,0.06099897,0.006601342,0.00478615,0.003960503,0.01050175
6600,cw,20.95543,19.328210000000002,18.47344,18.03209,17.74344,0.09399867,0.01384345,0.01049327,0.0072371480000000005,0.02333253
6601,cw,20.635839999999998,19.19355,18.55248,18.20492,17.94334,0.07314046,0.009313047,0.007789501,0.009008536,0.02717382
6602,cw,20.60606,19.36973,18.67942,18.2951,18.04017,0.06951771,0.009874789,0.007430178000000001,0.008602967,0.02907109
6603,cw,20.49888,18.74644,17.82064,17.336570000000002,16.98199,0.05831457,0.006797276,0.004482075,0.004615925,0.01238045
6604,cw,20.05234,18.59119,17.84445,17.412979999999997,17.15972,0.11666480000000001,0.1181685,0.1309369,0.1192157,0.0975429
6605,cw,19.42003,17.49355,16.63401,16.202560000000002,15.871279999999999,0.02918181,0.003187518,0.002556375,0.002364948,0.004874515
6606,cw,19.74761,18.528489999999998,17.74372,17.28151,16.9432,0.03164421,0.04705671,0.06984269,0.04131765,0.04844328
6607,cw,19.635579999999997,18.49095,17.810589999999998,17.38779,17.11421,0.03022353,0.006261307,0.004174074,0.005006068,0.01085577
6608,cw,20.00275,19.02543,18.55725,18.20325,18.031589999999998,0.03960882,0.009160441,0.008147096999999999,0.009560341,0.0220805
6609,cw,21.97253,20.4139,19.59595,19.1919,18.92827,0.2056901,0.1649862,0.1656297,0.194043,0.22294610000000004
6610,cw,20.75789,18.91459,17.96927,17.54423,17.2214,0.0762895,0.007660463,0.00529009,0.004780976,0.01065157
6611,cw,20.69539,19.15727,18.391389999999998,17.99494,17.70189,0.07329804,0.009094994,0.00691428,0.006651216999999999,0.01558108
6612,cw,20.144920000000003,18.848129999999998,18.27959,17.88922,17.702270000000002,0.04895061,0.007462178000000001,0.00638701,0.006804676,0.01557927
6613,cw,19.17738,17.52158,16.6824,16.24768,15.91675,0.02367078,0.02237389,0.02000056,0.01431551,0.01432723
6614,cw,20.08395,18.37305,17.54405,17.134179999999997,16.7727,0.04705271,0.01705494,0.009151185,0.008137141,0.009021815
6615,cw,20.42352,18.55215,17.631829999999997,17.20099,16.84499,0.04888511,0.005659643000000001,0.003658512,0.0037946029999999997,0.008630531
