,rotation,nProf_u,nProf_g,nProf_r,nProf_i,nProf_z
719,cw,10,11,10,10,11
720,cw,11,11,11,11,11
721,cw,10,10,10,10,10
722,cw,11,11,11,11,11
723,cw,9,10,9,10,9
724,cw,11,11,11,11,11
725,cw,10,10,10,10,10
726,cw,10,10,10,10,10
727,cw,12,12,12,12,12
728,cw,10,10,10,10,10
729,cw,11,11,11,11,11
730,cw,11,10,10,10,10
731,cw,10,10,10,10,10
732,cw,10,10,10,10,10
733,cw,10,10,10,10,10
734,cw,10,10,10,10,10
735,cw,11,11,11,11,11
736,cw,11,11,11,11,11
737,cw,10,10,10,10,11
738,cw,10,10,10,10,10
739,cw,10,10,10,10,10
740,cw,10,10,10,10,10
741,cw,10,10,10,10,10
742,cw,10,10,10,10,10
743,cw,11,11,11,11,11
744,cw,10,10,10,10,10
745,cw,11,11,11,11,11
746,cw,11,11,11,11,11
747,cw,10,10,10,10,10
748,cw,11,11,11,11,11
749,cw,10,10,10,11,10
750,cw,10,11,10,11,10
751,cw,10,10,10,10,10
752,cw,11,10,10,11,10
753,cw,11,11,11,11,11
754,cw,10,10,10,10,10
755,cw,11,10,10,10,10
756,cw,10,10,10,10,10
757,cw,11,11,11,11,11
758,cw,12,12,12,12,12
759,cw,11,11,11,11,11
760,cw,12,12,12,12,12
761,cw,11,11,11,11,11
762,cw,11,11,11,11,11
763,cw,10,10,10,10,10
764,cw,11,11,11,11,11
765,cw,10,10,10,10,10
766,cw,12,12,12,12,12
767,cw,9,9,9,10,9
768,cw,12,10,10,10,10
769,cw,10,10,10,10,10
770,cw,10,10,10,10,10
771,cw,10,10,10,10,10
772,cw,12,12,12,12,12
773,cw,10,11,10,10,10
774,cw,11,11,11,11,11
775,cw,11,11,11,11,11
776,cw,11,11,11,11,11
777,cw,10,10,10,10,10
778,cw,11,11,11,11,11
779,cw,12,12,12,12,12
780,cw,10,10,10,10,10
781,cw,12,12,12,12,12
782,cw,11,11,11,11,11
783,cw,11,11,11,11,11
784,cw,10,10,10,10,10
785,cw,10,10,10,10,10
786,cw,11,11,11,11,11
787,cw,10,10,10,10,10
788,cw,10,10,10,10,10
789,cw,11,11,11,11,11
790,cw,10,10,10,10,10
791,cw,10,10,10,10,10
792,cw,10,11,10,10,10
793,cw,10,11,10,10,10
794,cw,10,10,10,10,10
795,cw,10,10,10,10,10
796,cw,11,11,11,12,11
797,cw,11,9,9,9,10
798,cw,12,12,12,12,12
799,cw,10,10,10,11,10
800,cw,11,11,11,11,11
801,cw,11,11,11,11,11
802,cw,10,10,10,11,10
803,cw,12,10,10,10,10
804,cw,12,10,10,10,10
805,cw,11,11,11,11,11
806,cw,11,11,11,11,11
807,cw,10,10,10,10,10
808,cw,12,10,10,10,10
809,cw,12,12,12,12,12
810,cw,10,10,9,9,9
811,cw,10,10,10,10,10
812,cw,9,9,9,9,10
813,cw,9,10,9,9,9
814,cw,11,11,10,10,10
815,cw,9,10,9,9,9
816,cw,9,10,9,9,10
817,cw,10,10,10,10,10
818,cw,10,10,10,10,10
819,cw,11,11,11,11,11
820,cw,11,11,11,11,11
821,cw,10,10,9,9,9
822,cw,11,10,10,10,10
823,cw,11,11,11,11,11
824,cw,10,10,10,10,10
825,cw,13,13,13,13,13
826,cw,10,10,10,10,10
827,cw,9,9,9,9,9
828,cw,11,11,11,11,11
829,cw,12,12,12,12,12
830,cw,10,10,10,10,10
831,cw,11,10,10,10,10
832,cw,10,11,10,10,10
833,cw,11,11,11,11,11
834,cw,11,10,10,10,10
835,cw,10,10,10,10,10
